drugID;indication
DAP000638;Malaria
DAP000639;Diabetes mellitus
DAP000639;Diabetes mellitus type 2
DAP000640;Myelodysplastic syndromes
DAP000641;Myelodysplastic syndromes
DAP000642;Herpes simplex virus infection
DAP000643;Cytomegalovirus infection
DAP000643;Viral infections
DAP000644;Acute lymphoblastic leukemia
DAP000644;Hematological malignancies
DAP000645;CMV retinitis
DAP000645;Viral infections
DAP000646;CMV retinitis
DAP000646;Viral infections
DAP000647;Colorectal cancer
DAP000648;Ovarian cancer
DAP000649;Breast cancer
DAP000650;Bladder cancer
DAP000650;Psoriasis
DAP000651;Acute lymphoblastic leukemia
DAP000652;Bacterial infection
DAP000653;Bacterial infection
DAP000654;Bacterial infection
DAP000655;Bacterial infection
DAP000656;Tuberculosis, Mycobacterium avium complex disease
DAP000657;Cancers
DAP000657;Head and neck cancer
DAP000657;Urethral cancer, Bladder cancer, Ovarian cancer, Prostate cancer, Breast cancer
DAP000658;Osteopetrosis
DAP000658;Paget's disease
DAP000659;Dramatic weight loss
DAP000660;Mycobacterium tuberculosis infection
DAP000660;Tuberculosis
DAP000661;Anesthesia
DAP000661;Seizures
DAP000662;Anesthesia
DAP000663;Dutch elm disease
DAP000663;Organ rejection
DAP000664;Dutch elm disease
DAP000664;Helminth infection
DAP000665;Cancers
DAP000665;Partial seizures
DAP000666;Ascariasis, Enterobiasis
DAP000666;Worm infections
DAP000667;Insomnia
DAP000668;Anxiety disorder
DAP000668;Headache
DAP000669;Anesthesia
DAP000670;Sedation
DAP000671;Anxiety disorder
DAP000671;Insomnia
DAP000672;Epilepsy, Anxiety disorder
DAP000672;Seizures associated with Lennox¨CGastaut syndrome
DAP000673;Anxiety disorder
DAP000674;Insomnia
DAP000675;Epilepsy
DAP000676;Respiratory distress
DAP000677;Anesthesia
DAP000678;Epilepsy
DAP000678;Seizures
DAP000679;Anxiety disorder
